Time,Input,2,Output
second,Volt,Volt,Volt
-3.71E-07,2.84E+00,3.96E-01,-1.25E+00
-3.70E-07,2.96E+00,3.33E-01,-1.56E+00
-3.68E-07,3.09E+00,2.71E-01,-1.72E+00
-3.67E-07,3.15E+00,2.71E-01,-1.88E+00
-3.66E-07,3.27E+00,2.08E-01,-2.03E+00
-3.65E-07,3.27E+00,2.08E-01,-2.19E+00
-3.63E-07,3.40E+00,2.08E-01,-2.34E+00
-3.62E-07,3.59E+00,2.71E-01,-2.50E+00
-3.61E-07,3.77E+00,2.08E-01,-2.50E+00
-3.60E-07,3.84E+00,2.08E-01,-2.50E+00
-3.58E-07,4.09E+00,1.46E-01,-2.66E+00
-3.57E-07,4.15E+00,1.46E-01,-2.34E+00
-3.56E-07,4.27E+00,2.08E-01,-2.19E+00
-3.55E-07,4.46E+00,1.46E-01,-2.19E+00
-3.53E-07,4.40E+00,1.46E-01,-2.19E+00
-3.52E-07,4.59E+00,8.30E-02,-2.03E+00
-3.51E-07,4.65E+00,1.46E-01,-1.88E+00
-3.50E-07,4.65E+00,2.05E-02,-1.72E+00
-3.48E-07,4.65E+00,2.05E-02,-1.41E+00
-3.47E-07,4.65E+00,-4.20E-02,-1.25E+00
-3.46E-07,4.65E+00,-4.20E-02,-1.09E+00
-3.45E-07,4.65E+00,-4.20E-02,-9.38E-01
-3.43E-07,4.65E+00,2.05E-02,-7.81E-01
-3.42E-07,4.65E+00,2.05E-02,-4.69E-01
-3.41E-07,4.65E+00,2.05E-02,-3.13E-01
-3.40E-07,4.65E+00,8.30E-02,-3.13E-01
-3.39E-07,4.65E+00,1.46E-01,-1.56E-01
-3.37E-07,4.65E+00,2.08E-01,-1.56E-01
-3.36E-07,4.65E+00,1.46E-01,0.00E+00
-3.35E-07,4.65E+00,2.71E-01,3.13E-01
-3.34E-07,4.65E+00,1.46E-01,3.13E-01
-3.32E-07,4.65E+00,1.46E-01,4.69E-01
-3.31E-07,4.65E+00,2.71E-01,4.69E-01
-3.30E-07,4.65E+00,2.08E-01,7.81E-01
-3.29E-07,4.65E+00,2.08E-01,7.81E-01
-3.27E-07,4.65E+00,2.08E-01,7.81E-01
-3.26E-07,4.65E+00,2.08E-01,9.38E-01
-3.25E-07,4.65E+00,2.08E-01,9.38E-01
-3.24E-07,4.65E+00,2.71E-01,9.38E-01
-3.22E-07,4.65E+00,2.71E-01,9.38E-01
-3.21E-07,4.65E+00,3.33E-01,7.81E-01
-3.20E-07,4.65E+00,3.33E-01,7.81E-01
-3.19E-07,4.65E+00,3.33E-01,7.81E-01
-3.17E-07,4.65E+00,3.33E-01,7.81E-01
-3.16E-07,4.65E+00,3.96E-01,7.81E-01
-3.15E-07,4.65E+00,3.33E-01,6.25E-01
