x-axis,1,2,3
second,Volt,Volt,Volt
-900.240E-09,-537.499904633E-03,+4.333000183105E+00,+5.312500000000E+00
-899.000E-09,-474.999904633E-03,+4.270500183106E+00,+5.312500000000E+00
-897.760E-09,-349.999904633E-03,+4.270500183105E+00,+5.312500000000E+00
-896.520E-09,-287.499904633E-03,+4.270500183105E+00,+5.312500000000E+00
-895.280E-09,-162.499904633E-03,+4.270500183105E+00,+5.312500000000E+00
-894.040E-09,-99.999904633E-03,+4.270500183105E+00,+5.156250000000E+00
-892.800E-09,+25.000095367E-03,+4.270500183105E+00,+5.000000000000E+00
-891.560E-09,+25.000095367E-03,+4.208000183106E+00,+5.000000000000E+00
-890.320E-09,+212.500095367E-03,+4.145500183106E+00,+5.156250000000E+00
-889.080E-09,+337.500095367E-03,+4.083000183106E+00,+5.000000000000E+00
-887.840E-09,+462.500095367E-03,+4.145500183105E+00,+5.000000000000E+00
-886.600E-09,+587.500095367E-03,+4.145500183105E+00,+5.000000000000E+00
-885.360E-09,+712.500095367E-03,+4.208000183105E+00,+4.843750000000E+00
-884.120E-09,+837.500095367E-03,+4.083000183106E+00,+5.000000000000E+00
-882.880E-09,+900.000095367E-03,+4.145500183105E+00,+4.687500000000E+00
-881.640E-09,+900.000095367E-03,+4.145500183105E+00,+4.687500000000E+00
-880.400E-09,+1.025000095367E+00,+4.208000183105E+00,+4.843750000000E+00
-879.160E-09,+1.025000095367E+00,+4.083000183106E+00,+4.843750000000E+00
-877.920E-09,+1.087500095367E+00,+4.145500183105E+00,+4.843750000000E+00
-876.680E-09,+1.025000095367E+00,+4.083000183105E+00,+4.843750000000E+00
-875.440E-09,+1.025000095367E+00,+4.083000183105E+00,+4.843750000000E+00
-874.200E-09,+1.025000095367E+00,+4.083000183105E+00,+5.000000000000E+00
-872.960E-09,+1.025000095367E+00,+4.020500183105E+00,+4.843750000000E+00
-871.720E-09,+962.500095367E-03,+4.083000183105E+00,+4.843750000000E+00
-870.480E-09,+837.500095367E-03,+4.020500183105E+00,+5.000000000000E+00
-869.240E-09,+775.000095367E-03,+4.020500183105E+00,+4.843750000000E+00
-868.000E-09,+650.000095367E-03,+4.020500183105E+00,+4.843750000000E+00
-866.760E-09,+525.000095367E-03,+4.020500183105E+00,+5.000000000000E+00
-865.520E-09,+400.000095367E-03,+4.020500183105E+00,+5.156250000000E+00
